signal_date,exec_entry_date,exec_exit_date,ticker,side,entry_price,exit_price,position_return,holding_age,score,weight,regime_exposure,position_risk_scale,contribution_return,contribution_pnl
2026-06-01,2026-06-02,2026-06-03,WFRD,1,100.12999725341795,103.3550033569336,0.032208191271128284,0,0.9868421052631579,0.030509758108972048,1.0,0.9152927432691614,0.0009826641248096288,0.9826641248096288
2026-06-01,2026-06-02,2026-06-03,GMED,1,78.98999786376953,78.36000061035156,-0.007975658570145705,0,0.9842105263157894,0.03333333333333333,1.0,1.0,-0.0002658552856715235,-0.2658552856715235
2026-06-01,2026-06-02,2026-06-03,PSLV,1,24.100000381469727,23.559999465942383,-0.022406676638169087,0,0.9796052631578948,0.02231188620737412,1.0,0.6693565862212236,-0.0004999352194362568,-0.4999352194362568
2026-06-01,2026-06-02,2026-06-03,KGC,1,29.3700008392334,28.51000022888184,-0.02928159978813283,0,0.9789473684210526,0.023608000950398413,1.0,0.7082400285119524,-0.0006912800356274258,-0.6912800356274258
2026-06-01,2026-06-02,2026-06-03,LBRT,1,29.709999084472656,31.670000076293945,0.06597108893367976,0,0.9782894736842105,0.02665076734268213,1.0,0.799523020280464,0.001758180142514891,1.758180142514891
2026-06-01,2026-06-02,2026-06-03,ZIM,1,25.0,25.100000381469727,0.004000015258789125,0,0.9710526315789474,0.03333333333333333,1.0,1.0,0.0001333338419596375,0.1333338419596375
2026-06-02,2026-06-03,2026-06-04,WFRD,1,103.3550033569336,104.23999786376952,0.00856266729322841,1,0.969078947368421,0.030949584921127243,1.0,0.9284875476338172,0.0002650109985431314,0.265333545435207
2026-06-02,2026-06-03,2026-06-04,GMED,1,78.36000061035156,79.33000183105469,0.012378780157576763,1,0.9677631578947368,0.03333333333333333,1.0,1.0,0.0004126260052525588,0.4131282154865318
2026-06-02,2026-06-03,2026-06-04,PSLV,1,23.559999465942383,23.700000762939453,0.005942330227954873,1,0.9796052631578948,0.02269994508930203,1.0,0.680998352679061,0.00013489056987707522,0.1350547462105985
2026-06-02,2026-06-03,2026-06-04,KGC,1,28.51000022888184,28.559999465942383,0.0017537438323094179,1,0.9736842105263157,0.0236885886256364,1.0,0.710657658769092,4.154371619832487e-05,0.0415942793697355
2026-06-02,2026-06-03,2026-06-04,LBRT,1,31.670000076293945,30.229999542236328,-0.04546891476440207,1,0.9723684210526315,0.026967256263188924,1.0,0.8090176878956677,-0.001226171876460725,-1.2276642595319072
2026-06-02,2026-06-03,2026-06-04,ZIM,1,25.100000381469727,24.5,-0.023904397304817637,1,0.9802631578947368,0.03333333333333333,1.0,1.0,-0.0007968132434939213,-0.7977830509232977
2026-06-02,2026-06-03,2026-06-04,BBIO,1,63.43000030517578,66.0,0.04051710046443935,0,0.9644736842105264,0.026273099201931892,1.0,0.7881929760579568,0.0010645097998768557,1.0658054228110803
2026-06-03,2026-06-04,2026-06-05,WFRD,1,104.23999786376952,102.69000244140624,-0.014869488239907303,2,0.969078947368421,0.032122356559300826,1.0,0.9636706967790248,-0.00047764300309663285,-0.47815847665016603
2026-06-03,2026-06-04,2026-06-05,GMED,1,79.33000183105469,80.05999755859375,0.00920201324454406,2,0.9677631578947368,0.03333333333333333,1.0,1.0,0.00030673377481813533,0.3070648026943296
2026-06-03,2026-06-04,2026-06-05,PSLV,1,23.700000762939453,22.43000030517578,-0.05358651548018589,2,0.9677631578947368,0.023903827063030673,1.0,0.7171148118909202,-0.0012809227989487796,-1.2823051741174623
2026-06-03,2026-06-04,2026-06-05,KGC,1,28.559999465942383,27.920000076293945,-0.022408942633617035,2,0.9736842105263157,0.0248422380204885,1.0,0.7452671406146549,-0.0005566882866917868,-0.5572890661180339
2026-06-03,2026-06-04,2026-06-05,LBRT,1,30.229999542236328,31.0,0.025471401568758045,2,0.9723684210526315,0.026257746198858536,1.0,0.7877323859657561,0.0006688215977216559,0.6695433917046562
2026-06-03,2026-06-04,2026-06-05,ZIM,1,24.5,25.440000534057617,0.038367368737045604,2,0.9907894736842106,0.03333333333333333,1.0,1.0,0.0012789122912348534,1.2802924966584566
2026-06-03,2026-06-04,2026-06-05,BBIO,1,66.0,67.44999694824219,0.021969650730942147,1,0.9644736842105264,0.02626491107008178,1.0,0.7879473321024534,0.0005770309226889527,0.5776536559401227
